# wl, theta
 923.42342, -26.04145
 924.32432, -26.00419
 925.22523, -25.96696
 926.12613, -25.92982
 927.02703, -25.89268
 927.92793, -25.85554
 928.82883, -25.81840
 929.72973, -25.78127
 930.63063, -25.74427
 931.53153, -25.70734
 932.43243, -25.67041
 933.33333, -25.63348
 934.23423, -25.59655
 935.13514, -25.55962
 936.03604, -25.52270
 936.93694, -25.48577
 937.83784, -25.44885
 938.73874, -25.41192
 939.63964, -25.37500
 940.54054, -25.33809
 941.44144, -25.30119
 942.34234, -25.26429
 943.24324, -25.22740
 944.14414, -25.19050
 945.04505, -25.15361
 945.94595, -25.11692
 946.84685, -25.08023
 947.74775, -25.04354
 948.64865, -25.00685
 949.54955, -24.97016
 950.45045, -24.93352
 951.35135, -24.89694
 952.25225, -24.86036
 953.15315, -24.82378
 954.05405, -24.78720
 954.95495, -24.75061
 955.85586, -24.71404
 956.75676, -24.67746
 957.65766, -24.64089
 958.55856, -24.60431
 959.45946, -24.56774
 960.36036, -24.53121
 961.26126, -24.49476
 962.16216, -24.45831
 963.06306, -24.42186
 963.96396, -24.38542
 964.86486, -24.34897
 965.76577, -24.31262
 966.66667, -24.27628
 967.56757, -24.23995
 968.46847, -24.20362
 969.36937, -24.16728
 970.27027, -24.13098
 971.17117, -24.09474
 972.07207, -24.05850
 972.97297, -24.02226
 973.87387, -23.98602
 974.77477, -23.94978
 975.67568, -23.91364
 976.57658, -23.87753
 977.47748, -23.84143
 978.37838, -23.80532
 979.27928, -23.76921
 980.18018, -23.73312
 981.08108, -23.69706
 981.98198, -23.66100
 982.88288, -23.62494
 983.78378, -23.58888
 984.68468, -23.55282
 985.58559, -23.51679
 986.48649, -23.48077
 987.38739, -23.44475
 988.28829, -23.40873
 989.18919, -23.37271
 990.09009, -23.33671
 990.99099, -23.30084
 991.89189, -23.26497
 992.79279, -23.22910
 993.69369, -23.19323
 994.59459, -23.15736
 995.49550, -23.12157
 996.39640, -23.08586
 997.29730, -23.05015
 998.19820, -23.01444
 999.09910, -22.97874
1000.00000, -22.94303
1000.90090, -22.90727
1001.80180, -22.87152
1002.70270, -22.83577
1003.60360, -22.80002
1004.50450, -22.76427
1005.40541, -22.72857
1006.30631, -22.69294
1007.20721, -22.65731
1008.10811, -22.62168
1009.00901, -22.58606
1009.90991, -22.55043
1010.81081, -22.51488
1011.71171, -22.47934
1012.61261, -22.44379
1013.51351, -22.40825
1014.41441, -22.37271
1015.31532, -22.33718
1016.21622, -22.30166
1017.11712, -22.26614
1018.01802, -22.23061
1018.91892, -22.19509
1019.81982, -22.15957
1020.72072, -22.12410
1021.62162, -22.08865
1022.52252, -22.05319
1023.42342, -22.01774
1024.32432, -21.98228
1025.22523, -21.94685
1026.12613, -21.91152
1027.02703, -21.87619
1027.92793, -21.84086
1028.82883, -21.80553
1029.72973, -21.77020
1030.63063, -21.73498
1031.53153, -21.69981
1032.43243, -21.66464
1033.33333, -21.62947
1034.23423, -21.59430
1035.13514, -21.55913
1036.03604, -21.52394
1036.93694, -21.48874
1037.83784, -21.45355
1038.73874, -21.41836
1039.63964, -21.38316
1040.54054, -21.34801
1041.44144, -21.31288
1042.34234, -21.27775
1043.24324, -21.24262
1044.14414, -21.20749
1045.04505, -21.17237
1045.94595, -21.13748
1046.84685, -21.10259
1047.74775, -21.06769
1048.64865, -21.03280
1049.54955, -20.99791
1050.45045, -20.96291
1051.35135, -20.92780
1052.25225, -20.89269
1053.15315, -20.85759
1054.05405, -20.82248
1054.95495, -20.78738
1055.85586, -20.75248
1056.75676, -20.71759
1057.65766, -20.68270
1058.55856, -20.64781
1059.45946, -20.61292
1060.36036, -20.57802
1061.26126, -20.54311
1062.16216, -20.50820
1063.06306, -20.47330
1063.96396, -20.43839
1064.86486, -20.40348
1065.76577, -20.36871
1066.66667, -20.33396
1067.56757, -20.29921
1068.46847, -20.26445
1069.36937, -20.22970
1070.27027, -20.19497
1071.17117, -20.16027
1072.07207, -20.12557
1072.97297, -20.09087
1073.87387, -20.05617
1074.77477, -20.02147
1075.67568, -19.98680
1076.57658, -19.95214
1077.47748, -19.91748
1078.37838, -19.88282
1079.27928, -19.84816
1080.18018, -19.81352
1081.08108, -19.77897
1081.98198, -19.74442
1082.88288, -19.70987
1083.78378, -19.67532
1084.68468, -19.64077
1085.58559, -19.60621
1086.48649, -19.57165
1087.38739, -19.53708
1088.28829, -19.50252
1089.18919, -19.46795
1090.09009, -19.43339
1090.99099, -19.39889
1091.89189, -19.36438
1092.79279, -19.32987
1093.69369, -19.29536
1094.59459, -19.26086
1095.49550, -19.22638
1096.39640, -19.19193
1097.29730, -19.15748
1098.19820, -19.12302
1099.09910, -19.08857
1100.00000, -19.05412
1100.90090, -19.01974
1101.80180, -18.98537
1102.70270, -18.95099
1103.60360, -18.91662
1104.50450, -18.88224
1105.40541, -18.84793
1106.30631, -18.81371
1107.20721, -18.77948
1108.10811, -18.74525
1109.00901, -18.71103
1109.90991, -18.67680
1110.81081, -18.64252
1111.71171, -18.60824
1112.61261, -18.57396
1113.51351, -18.53967
1114.41441, -18.50539
1115.31532, -18.47113
1116.21622, -18.43691
1117.11712, -18.40269
1118.01802, -18.36847
1118.91892, -18.33425
1119.81982, -18.30003
1120.72072, -18.26582
1121.62162, -18.23161
1122.52252, -18.19740
1123.42342, -18.16319
1124.32432, -18.12898
1125.22523, -18.09481
1126.12613, -18.06072
1127.02703, -18.02663
1127.92793, -17.99255
1128.82883, -17.95846
1129.72973, -17.92437
1130.63063, -17.89028
1131.53153, -17.85619
1132.43243, -17.82210
1133.33333, -17.78801
1134.23423, -17.75392
1135.13514, -17.71984
1136.03604, -17.68584
1136.93694, -17.65184
1137.83784, -17.61784
1138.73874, -17.58384
1139.63964, -17.54983
1140.54054, -17.51586
1141.44144, -17.48189
1142.34234, -17.44793
1143.24324, -17.41396
1144.14414, -17.38000
1145.04505, -17.34604
1145.94595, -17.31207
1146.84685, -17.27811
1147.74775, -17.24415
1148.64865, -17.21018
1149.54955, -17.17622
1150.45045, -17.14229
1151.35135, -17.10839
1152.25225, -17.07450
1153.15315, -17.04060
1154.05405, -17.00671
1154.95495, -16.97281
1155.85586, -16.93900
1156.75676, -16.90520
1157.65766, -16.87140
1158.55856, -16.83760
1159.45946, -16.80380
1160.36036, -16.76999
1161.26126, -16.73617
1162.16216, -16.70234
1163.06306, -16.66852
1163.96396, -16.63469
1164.86486, -16.60087
1165.76577, -16.56711
1166.66667, -16.53338
1167.56757, -16.49964
1168.46847, -16.46590
1169.36937, -16.43216
1170.27027, -16.39844
1171.17117, -16.36476
1172.07207, -16.33107
1172.97297, -16.29738
1173.87387, -16.26370
1174.77477, -16.23001
1175.67568, -16.19634
1176.57658, -16.16268
1177.47748, -16.12902
1178.37838, -16.09535
1179.27928, -16.06169
1180.18018, -16.02802
1181.08108, -15.99433
1181.98198, -15.96063
1182.88288, -15.92694
1183.78378, -15.89325
1184.68468, -15.85955
1185.58559, -15.82592
1186.48649, -15.79231
1187.38739, -15.75870
1188.28829, -15.72510
1189.18919, -15.69149
1190.09009, -15.65789
1190.99099, -15.62433
1191.89189, -15.59077
1192.79279, -15.55721
1193.69369, -15.52365
1194.59459, -15.49008
1195.49550, -15.45657
1196.39640, -15.42309
1197.29730, -15.38962
1198.19820, -15.35614
1199.09910, -15.32267
1200.00000, -15.28919
