Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Al_grating_measurement00002
DateTime:      Friday, 09 February 2024, 14:33:06
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_measurement00002\Run00001\result.txt
Dimensions:    2
TotalSteps:    1136
Created:       02/09/2024 14:26
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating 35 deg
Probe 750 nm 7 uW
Pump 400 nm 4.44 mW


Constants:
>	DelayLine [ps]	1.702009

Loops:
>	Repeat: 2 times
>	DelayLine: from -20 to 1000 [ps] in 568 steps ZigZag

Operations:
>	Digitizer

Parameters:
> Repeat,x,0,2,R,0,1
> DelayLine,ps,3,568,R,-20,1000

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 4 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      1.702 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      166.831 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	Repeat [x]	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
331	0	528.000	-0.002350	0.001708	-0.000550
332	0	530.000	-0.002428	0.001688	-0.000588
333	0	532.000	-0.002303	0.001145	-0.000631
334	0	534.000	-0.002421	0.001146	-0.000629
335	0	536.000	-0.002915	0.001351	-0.000657
336	0	538.000	-0.002517	0.001110	-0.000608
337	0	540.000	-0.002327	0.001069	-0.000646
338	0	542.000	-0.002859	0.001065	-0.000709
339	0	544.000	-0.002508	0.001630	-0.000697
340	0	546.000	-0.002344	0.001021	-0.000692
341	0	548.000	-0.002642	0.001263	-0.000689
342	0	550.000	-0.002772	0.001366	-0.000694
343	0	552.000	-0.002518	0.001386	-0.000652
344	0	554.000	-0.002435	0.001288	-0.000675
345	0	556.000	-0.002417	0.001374	-0.000675
346	0	558.000	-0.002297	0.001481	-0.000697
347	0	560.000	-0.003273	0.001323	-0.000624
348	0	562.000	-0.003164	0.001036	-0.000653
349	0	564.000	-0.002428	0.001063	-0.000656
350	0	566.000	-0.002994	0.000870	-0.000636
351	0	568.000	-0.002356	0.001209	-0.000594
352	0	570.000	-0.002754	0.001457	-0.000623
353	0	572.000	-0.002440	0.001359	-0.000632
354	0	574.000	-0.002608	0.001342	-0.000602
355	0	576.000	-0.002509	0.001157	-0.000616
356	0	578.000	-0.002557	0.002435	-0.000604
357	0	580.000	-0.002433	0.000940	-0.000589
358	0	582.000	-0.002908	0.001169	-0.000612
359	0	584.000	-0.002571	0.001003	-0.000638
360	0	586.000	-0.002592	0.001083	-0.000625
361	0	588.000	-0.002314	0.001349	-0.000578
362	0	590.000	-0.003036	0.001143	-0.000575
363	0	592.000	-0.002575	0.001477	-0.000592
