Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Al_transient_grating_measurement00001
DateTime:      Thursday, 04 January 2024, 16:44:51
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_transient_grating_measurement00001\Run00005\result.txt
Dimensions:    2
TotalSteps:    750
Created:       01/04/2024 12:17
Operator:      Jeffrey
Sample:        Sample
Notes:
Flat Al

pump 12.5 mW right arm only

probe 0.08 mW



Constants:
>	DelayLine [ps]	4.000272

Loops:
>	Repeat: 3 times
>	DelayLine: from -20 to 100 [ps] in 250 steps ZigZag

Operations:
>	Digitizer

Parameters:
> Repeat,x,0,3,R,0,2
> DelayLine,ps,3,250,R,-20,100

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 4 ps step=0.1 ps , to 32 ps step=1 ps , to 43 ps step=0.2 ps , to 70 ps step=1 ps , to 80 ps step=0.2 ps , to >> step=1 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      4 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      166.831 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	Repeat [x]	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
188	0	71.800	-0.001428	0.006730	0.003577
189	0	72.000	-0.001665	0.007378	0.003501
190	0	72.200	-0.000907	0.006443	0.003600
191	0	72.400	-0.000064	0.007384	0.003493
192	0	72.600	0.000756	0.007603	0.003537
193	0	72.800	-0.000482	0.008387	0.003575
194	0	73.000	-0.002308	0.008087	0.003491
195	0	73.200	-0.000624	0.008247	0.003550
196	0	73.400	-0.001722	0.006899	0.003524
197	0	73.600	0.000030	0.007316	0.003480
198	0	73.800	-0.000742	0.010240	0.003676
199	0	74.000	-0.018600	0.009046	0.003592
200	0	74.200	0.000010	0.007927	0.003668
201	0	74.400	-0.000748	0.007381	0.003563
202	0	74.600	-0.000038	0.006933	0.003536
203	0	74.800	-0.000510	0.020387	0.003559
204	0	75.000	0.000409	0.008058	0.003505
205	0	75.200	0.000229	0.006919	0.003572
206	0	75.400	0.000231	0.017067	0.003480
207	0	75.600	-0.000850	0.011620	0.003406
208	0	75.800	-0.000200	0.008485	0.003460
209	0	76.000	-0.000696	0.007604	0.003525
210	0	76.200	-0.000509	0.009892	0.003432
211	0	76.400	0.000421	0.007465	0.003463
212	0	76.600	0.000367	0.006673	0.003499
213	0	76.800	-0.000644	0.006903	0.003542
214	0	77.000	-0.001331	0.009075	0.003524
215	0	77.200	-0.000981	0.009273	0.003469
216	0	77.400	-0.001848	0.007521	0.003407
217	0	77.600	-0.000852	0.008073	0.003548
218	0	77.800	-0.001226	0.007136	0.003405
219	0	78.000	-0.000743	0.007800	0.003544
220	0	78.200	-0.000972	0.008483	0.003609
221	0	78.400	0.000115	0.008614	0.003469
222	0	78.600	-0.000571	0.009103	0.003506
223	0	78.800	-0.000050	0.006586	0.003574
224	0	79.000	-0.000326	0.007200	0.003413
225	0	79.200	-0.000586	0.010375	0.003453
226	0	79.400	-0.001674	0.007012	0.003378
227	0	79.600	-0.001227	0.007112	0.003408
228	0	79.800	0.000720	0.006540	0.003436
229	0	80.000	-0.001491	0.006802	0.003357
230	0	81.000	0.000051	0.007306	0.003482
231	0	82.000	0.000255	0.008202	0.003514
232	0	83.000	-0.000559	0.006702	0.003434
233	0	84.000	-0.000922	0.007599	0.003455
234	0	85.000	-0.000244	0.007387	0.003451
235	0	86.000	0.000605	0.009178	0.003455
236	0	87.000	-0.000894	0.006998	0.003412
237	0	88.000	-0.001166	0.007721	0.003344
238	0	89.000	-0.001416	0.007453	0.003323
239	0	90.000	-0.000564	0.007751	0.003345
240	0	91.000	-0.001029	0.007607	0.003409
241	0	92.000	-0.003374	0.007157	0.003388
242	0	93.000	-0.000034	0.007550	0.003387
243	0	94.000	-0.000143	0.008366	0.003395
244	0	95.000	-0.000277	0.006854	0.003481
245	0	96.000	-0.000820	0.007632	0.003487
246	0	97.000	-0.000854	0.007112	0.003347
247	0	98.000	0.000032	0.007541	0.003472
248	0	99.000	-0.000564	0.007231	0.003383
249	0	100.000	-0.000795	0.007972	0.003362
250	1	100.000	0.000440	0.007977	0.003419
251	1	99.000	-0.000004	0.007491	0.003516
252	1	98.000	-0.002926	0.008148	0.003472
253	1	97.000	0.000311	0.006768	0.003339
254	1	96.000	-0.000440	0.008028	0.003479
255	1	95.000	-0.000043	0.008186	0.003464
256	1	94.000	0.000060	0.009037	0.003429
257	1	93.000	-0.000263	0.007141	0.003405
258	1	92.000	-0.003393	0.007552	0.003419
259	1	91.000	-0.001432	0.008169	0.003512
260	1	90.000	-0.000238	0.008774	0.003574
261	1	89.000	0.000287	0.012149	0.003574
262	1	88.000	-0.000650	0.006363	0.003493
263	1	87.000	-0.000072	0.009293	0.003441
264	1	86.000	-0.002240	0.006775	0.003619
265	1	85.000	0.000266	0.009198	0.003478
266	1	84.000	-0.004210	0.007471	0.003455
267	1	83.000	0.000333	0.008070	0.003451
268	1	82.000	-0.006995	0.007550	0.003510
269	1	81.000	-0.007408	0.007022	0.003490
270	1	80.000	0.000600	0.006701	0.003401
271	1	79.800	-0.001410	0.006794	0.003418
272	1	79.600	0.000254	0.013549	0.003458
273	1	79.400	-0.000642	0.011711	0.003449
274	1	79.200	-0.002059	0.007165	0.003378
275	1	79.000	-0.000089	0.007067	0.003434
276	1	78.800	0.000884	0.009112	0.003669
277	1	78.600	0.000149	0.008018	0.003446
278	1	78.400	0.000214	0.007300	0.003435
279	1	78.200	-0.000794	0.008603	0.003569
280	1	78.000	-0.000127	0.006830	0.003422
281	1	77.800	0.000597	0.006801	0.003480
282	1	77.600	-0.001394	0.008295	0.003450
283	1	77.400	-0.000917	0.006895	0.003383
284	1	77.200	-0.006090	0.006984	0.003457
285	1	77.000	-0.001647	0.007720	0.003511
286	1	76.800	-0.000329	0.006350	0.003489
287	1	76.600	-0.000388	0.006655	0.003444
288	1	76.400	-0.000698	0.007200	0.003400
289	1	76.200	-0.000046	0.017192	0.003477
290	1	76.000	-0.000678	0.006432	0.003396
291	1	75.800	0.000367	0.006664	0.003433
292	1	75.600	-0.000950	0.006901	0.003378
293	1	75.400	-0.000154	0.008272	0.003362
294	1	75.200	-0.002550	0.007312	0.003317
295	1	75.000	-0.001885	0.007019	0.003350
296	1	74.800	-0.000421	0.008032	0.003368
297	1	74.600	0.000100	0.007234	0.003448
298	1	74.400	-0.001662	0.009218	0.003318
299	1	74.200	-0.000592	0.006555	0.003346
300	1	74.000	-0.000367	0.007142	0.003417
301	1	73.800	-0.000166	0.008024	0.003404
302	1	73.600	0.000071	0.008936	0.003471
303	1	73.400	-0.001122	0.005742	0.003265
304	1	73.200	0.000012	0.006625	0.003313
305	1	73.000	0.000272	0.007408	0.003367
306	1	72.800	-0.000278	0.007391	0.003380
307	1	72.600	-0.002230	0.006491	0.003330
308	1	72.400	-0.000063	0.006159	0.003285
309	1	72.200	-0.000136	0.006155	0.003407
310	1	72.000	0.000169	0.006451	0.003344
311	1	71.800	-0.000068	0.007389	0.003364
312	1	71.600	0.000351	0.010856	0.003370
313	1	71.400	-0.000395	0.009045	0.003396
314	1	71.200	-0.022141	0.007363	0.003371
315	1	71.000	-0.000147	0.007219	0.003244
316	1	70.800	0.000736	0.006199	0.003471
317	1	70.600	-0.000774	0.006924	0.003455
318	1	70.400	-0.000351	0.007496	0.003359
319	1	70.200	-0.002063	0.007414	0.003362
320	1	70.000	0.000150	0.008278	0.003362
321	1	69.000	0.000159	0.006733	0.003528
322	1	68.000	-0.001886	0.007117	0.003338
323	1	67.000	0.000386	0.006884	0.003361
324	1	66.000	-0.000191	0.007325	0.003340
325	1	65.000	-0.002761	0.006419	0.003316
326	1	64.000	-0.000088	0.006796	0.003384
327	1	63.000	0.000316	0.007588	0.003452
328	1	62.000	-0.000238	0.008358	0.003377
329	1	61.000	-0.000238	0.006263	0.003409
330	1	60.000	-0.001122	0.007584	0.003395
331	1	59.000	0.000112	0.006519	0.003479
332	1	58.000	-0.000251	0.006879	0.003371
333	1	57.000	-0.000012	0.005903	0.003260
334	1	56.000	-0.000018	0.006981	0.003408
335	1	55.000	-0.000331	0.006322	0.003464
336	1	54.000	0.000306	0.005963	0.003504
337	1	53.000	0.000356	0.007648	0.003538
338	1	52.000	-0.000844	0.006884	0.003549
339	1	51.000	0.000335	0.006850	0.003451
340	1	50.000	-0.000290	0.006236	0.003401
341	1	49.000	0.000213	0.007640	0.003405
342	1	48.000	0.000419	0.006024	0.003492
343	1	47.000	0.000741	0.006295	0.003646
344	1	46.000	0.000504	0.007383	0.003653
345	1	45.000	0.000835	0.007066	0.003585
346	1	44.000	-0.000581	0.007310	0.003461
347	1	43.000	0.000327	0.005965	0.003422
348	1	42.800	0.000861	0.006424	0.003544
349	1	42.600	-0.002580	0.006744	0.003475
350	1	42.400	0.000601	0.006569	0.003537
351	1	42.200	0.000189	0.007742	0.003552
352	1	42.000	-0.001728	0.006725	0.003620
353	1	41.800	-0.001047	0.008334	0.003515
354	1	41.600	-0.000692	0.006994	0.003483
355	1	41.400	-0.000278	0.005988	0.003423
356	1	41.200	0.000266	0.006198	0.003459
357	1	41.000	-0.003235	0.007124	0.003556
358	1	40.800	0.000349	0.007588	0.003592
359	1	40.600	0.000590	0.006393	0.003620
360	1	40.400	0.000212	0.007086	0.003622
361	1	40.200	0.000409	0.007094	0.003620
362	1	40.000	0.000180	0.006599	0.003604
363	1	39.800	0.000509	0.006262	0.003551
364	1	39.600	0.001166	0.006187	0.003533
365	1	39.400	-0.000477	0.006252	0.003539
366	1	39.200	-0.000388	0.008236	0.003520
367	1	39.000	-0.002383	0.007533	0.003482
368	1	38.800	-0.000007	0.006980	0.003506
369	1	38.600	0.000196	0.007971	0.003438
370	1	38.400	0.000426	0.006377	0.003624
371	1	38.200	0.001101	0.006344	0.003527
372	1	38.000	0.000206	0.005898	0.003366
373	1	37.800	-0.000421	0.007126	0.003528
374	1	37.600	0.000891	0.008159	0.003628
375	1	37.400	-0.000372	0.006687	0.003608
376	1	37.200	0.000890	0.006144	0.003553
377	1	37.000	0.000392	0.007038	0.003610
378	1	36.800	0.000636	0.006571	0.003482
379	1	36.600	0.001135	0.006872	0.003556
380	1	36.400	0.000656	0.014448	0.003606
381	1	36.200	-0.000427	0.006974	0.003432
382	1	36.000	-0.000138	0.008201	0.003667
383	1	35.800	0.000574	0.007038	0.003658
384	1	35.600	-0.001551	0.006800	0.003592
385	1	35.400	0.000207	0.006750	0.003403
386	1	35.200	-0.000615	0.006000	0.003633
387	1	35.000	0.000354	0.008280	0.003800
388	1	34.800	0.001294	0.006944	0.003696
389	1	34.600	0.000719	0.007813	0.003750
390	1	34.400	0.000212	0.009795	0.003619
391	1	34.200	0.000514	0.006804	0.003706
392	1	34.000	0.001402	0.006206	0.003796
393	1	33.800	-0.000509	0.006569	0.003637
394	1	33.600	-0.000292	0.007998	0.003698
395	1	33.400	0.000936	0.007329	0.003756
396	1	33.200	-0.000067	0.008054	0.003826
397	1	33.000	0.000992	0.006509	0.003806
398	1	32.800	0.000166	0.007316	0.003767
399	1	32.600	0.000670	0.006460	0.003567
400	1	32.400	0.000928	0.006920	0.003716
401	1	32.200	0.001302	0.006538	0.003586
402	1	32.000	0.001068	0.007066	0.003711
403	1	31.000	0.000632	0.006598	0.004003
404	1	30.000	0.001492	0.006931	0.004082
405	1	29.000	0.000918	0.006737	0.003860
406	1	28.000	0.000202	0.007291	0.004151
407	1	27.000	-0.000118	0.009137	0.004086
408	1	26.000	0.001243	0.007102	0.004206
409	1	25.000	0.001892	0.007315	0.004262
410	1	24.000	0.001653	0.007545	0.004330
411	1	23.000	0.000906	0.008006	0.004349
412	1	22.000	0.001319	0.008171	0.004462
413	1	21.000	0.001442	0.007166	0.004377
414	1	20.000	0.000481	0.009386	0.004370
415	1	19.000	0.001808	0.009622	0.004553
416	1	18.000	0.001290	0.007656	0.004554
417	1	17.000	0.001989	0.008088	0.004671
418	1	16.000	-0.005846	0.007928	0.004734
419	1	15.000	0.002406	0.008952	0.004921
420	1	14.000	0.000744	0.008283	0.004830
421	1	13.000	0.001557	0.008205	0.004757
422	1	12.000	0.001866	0.008028	0.004958
423	1	11.000	0.000950	0.008544	0.005247
424	1	10.000	-0.000795	0.009789	0.005236
425	1	9.000	0.002291	0.008115	0.005180
426	1	8.000	0.002632	0.009522	0.005270
427	1	7.000	0.002859	0.008378	0.005268
428	1	6.000	0.002338	0.009331	0.005376
429	1	5.000	0.002398	0.008576	0.005373
430	1	4.000	0.003188	0.008248	0.005420
431	1	3.900	0.002297	0.008031	0.005376
432	1	3.800	0.001674	0.008523	0.005365
433	1	3.700	0.002174	0.008165	0.005548
434	1	3.600	0.002594	0.008050	0.005579
435	1	3.500	0.002429	0.009564	0.005484
436	1	3.400	-0.001966	0.008157	0.005418
437	1	3.300	0.002893	0.008046	0.005615
438	1	3.200	0.002421	0.008665	0.005570
439	1	3.100	-0.001051	0.010450	0.005455
440	1	3.000	0.002286	0.010271	0.005470
